,name,athlete_id,committed_to,side_of_ball,position_group,state_province,hometown_country,height,weight,distance_miles,k_means_cluster,k_means_pca1,k_means_pca2,k_means_distance_to_centroid
6638,Jerrell Jackson,-1012912.0,Hawai'i,defense,d_backfield,LA,USA,73.0,177.0,3998.056165639685,0,-1.5982903055415556,6.287204848761733,3.69779282925291
3296,Jeremy Tabuyo,549869.0,Texas A&M,offense,pass_catcher,HI,USA,71.0,174.0,3829.8601351896727,0,-2.174217101586985,5.927591965340005,3.5903474066739856
9972,Motekiai Langi,-1003981.0,BYU,offense,o_line,,,79.0,410.0,0.0,2,4.447121414978361,-0.3326796262379168,3.573489531793266
20579,Zach Daniel,4427018.0,Hawai'i,offense,qb,TX,USA,72.0,190.0,3892.367173231217,0,-1.6567890289979013,6.094178998499632,3.515811917669389
19321,Trevor Roberson,4430406.0,Texas Tech,offense,o_line,TX,USA,83.0,355.0,128.93633464998518,2,4.68893223220174,-0.09405073051006475,3.4962067420582055
15034,Paula Finau,,BYU,offense,o_line,HI,USA,77.0,340.0,2944.459457029719,0,2.252430689635767,4.784856013430819,3.4469211174142806
18236,Patrick Gilliland,-1026678.0,Ohio,offense,o_line,OH,USA,78.0,410.0,65.11883706861876,2,4.154822415981956,-0.24160161742344938,3.4459472241313787
14431,Hekili Keliiliki,4256087.0,Hawai'i,offense,running_back,AR,USA,74.0,225.0,3918.6429438023792,0,-0.5569830245662089,6.2551531470452595,3.441635950966494
23485,Riley WIlson,,Hawai'i,offense,pass_catcher,TX,USA,72.0,177.0,3792.677070001581,0,-1.8404489513606366,5.892027319425849,3.40392036113821
3306,Colton Goeas,-1015067.0,Kansas,defense,linebacker,HI,USA,74.5,245.0,3857.1071731075135,0,-0.09447961437699573,6.192826321316997,3.394880477901346
21662,Jayson Jones,4431184.0,Oregon,defense,d_line,AL,USA,78.5,340.0,2083.569693967961,0,2.8323504894082094,3.276266140496721,3.307454927932377
21248,Joe Misak,4428023.0,Western Michigan,defense,d_line,MI,USA,81.0,377.0,10.780930271776947,2,4.492458200181447,-0.31958280179266696,3.305748316669844
15675,Sam Burt,4241315.0,Kansas,defense,d_line,KS,USA,81.0,377.0,105.77641335320904,2,4.474849536690781,-0.14881595235542436,3.2819188469175504
15907,Peter Gehrls,,Air Force,defense,d_line,NE,USA,81.0,377.0,495.46155482127466,2,4.4026162651620515,0.5516942374181645,3.2777930960557216
23785,Matthew Shipley,4565772.0,Hawai'i,special,special,TX,USA,73.0,175.0,3734.015252329535,0,-1.5804451221537055,5.809026552993671,3.25023203145317
20822,Chad Alexander,4570090.0,New Mexico,offense,running_back,LA,USA,65.0,153.0,1025.9668811798815,1,-3.662380662781423,0.6942699057309822,3.248749572234329
908,Shane Williams-Rhodes,531761.0,Boise State,offense,pass_catcher,TX,USA,66.0,170.0,1473.571262037031,1,-3.2007863147224054,1.554885007164938,3.2475472740345612
6978,Dany Mulanga,3124578.0,Hawai'i,defense,d_backfield,TX,USA,75.0,195.0,3771.8672904369664,0,-0.7160220030605108,5.96433483064834,3.2361225151620023
14778,Arex Flemings,,Oregon State,offense,pass_catcher,CA,USA,65.0,137.0,773.8507367621553,1,-3.8644338259308624,0.21281726475049112,3.2176165557715355
14769,Champ Flemings,,Oregon State,offense,pass_catcher,CA,USA,65.0,137.0,773.8507367621553,1,-3.8644338259308624,0.21281726475049112,3.2176165557715355
18804,Siaki Ika,4426440.0,LSU,defense,d_line,UT,USA,74.5,372.0,1360.1736824507498,2,2.3431004232260424,1.928421828792795,3.187717423780637
12715,Kavious' Price,4038930.0,Kent State,offense,pass_catcher,FL,USA,65.0,155.0,945.1684784854324,1,-3.6163053388260833,0.5525542692189194,3.1864811127200103
11775,Christian Haangana,-1042242.0,Washington State,offense,o_line,CA,USA,76.5,400.0,687.0181850247502,2,3.4637112550154123,0.8197211282721046,3.1849994724552064
12877,Dalton Lawrence,,Air Force,offense,o_line,CO,USA,81.0,370.0,43.57939944050079,2,4.377534605288137,-0.27297858974940375,3.175946635839251
7752,Breiden Fehoko,3674831.0,Texas Tech,defense,d_line,HI,USA,75.0,290.0,3493.8245162947496,0,0.8126850068227435,5.632196080821991,3.1617808058126164
20425,Javonte McGriff,4427962.0,Georgia Southern,offense,o_line,GA,USA,81.0,370.0,168.8474803222947,2,4.354314517229022,-0.04779277234694602,3.149421477944676
8262,Reno Rosene,-1008743.0,Duke,offense,o_line,CA,USA,78.0,335.0,2247.555494931872,0,2.5840936889998543,3.549236073902184,3.1317551050970653
11550,Andru Tovi,4241318.0,Utah State,offense,o_line,HI,USA,75.0,330.0,3012.699691966457,0,1.5238333520921017,4.837913009160821,3.128935269141764
4147,Emerald Faletuipapai,-1013260.0,Houston,offense,o_line,CA,USA,78.0,365.0,1375.3152723181531,2,3.2122490415705918,2.0342212506261808,3.1210646478488306
9590,Warren Wand,3917190.0,Arkansas State,offense,running_back,OK,USA,64.5,179.0,381.2895525675543,1,-3.278717823747609,-0.43172176586751754,3.114569943032859
